feature,score
R,1
E2,0.95
t,0.9
E8,0.85
E5,0.8
Nr,0.75
Nalh,0.7
Bj,0.6499999999999999
Narh,0.6
NHc,0.55
Mai,0.5
Nc,0.44999999999999996
Hka,0.3999999999999999
Fp3,0.35
mai,0.29999999999999993
ML,0.25
E4,0.19999999999999996
E9,0.1499999999999999
E7,0.09999999999999998
E1,0.04999999999999993
Bt,0
