feature,score
R,1
E9,0.95
t,0.9
E8,0.85
ML,0.8
Hka,0.75
mai,0.7
Bt,0.6499999999999999
Mai,0.6
E7,0.55
E4,0.5
Bj,0.44999999999999996
Fp3,0.3999999999999999
Nr,0.35
E5,0.29999999999999993
Nc,0.25
E2,0.19999999999999996
Nalh,0.1499999999999999
E1,0.09999999999999998
NHc,0.04999999999999993
Narh,0
