feature,score
E9,0
R,0
Nr,0
E8,0
t,0
ML,0
Bt,0
Fp3,0
E4,0
Nc,0
Narh,0
E1,0
E5,0
Nalh,0
Hka,0
Mai,0
mai,0
E7,0
E2,0
NHc,0
Bj,0
