feature,score
R,5.067735437300648
ML,1.0362025349320658
E9,1.0019762845849804
Mai,0.9735450331864784
Bt,0.8496930119201986
Bj,0.6675155056320206
Fp3,0.5465325188645349
E5,0.24483500803376546
Hka,0.24483500803376546
E8,0.24483500803376546
E4,0.12098298676748566
E1,0.12098298676748566
E2,0.12098298676748566
Narh,NA
Nr,NA
t,NA
NHc,NA
Nalh,NA
Nc,NA
mai,NA
E7,NA
