feature,score
R,1
E9,1
Narh,0
Bj,0
Bt,0
Nc,0
E4,0
t,0
Hka,0
E7,0
ML,0
Nr,0
E2,0
Fp3,0
E5,0
Mai,0
Nalh,0
E1,0
E8,0
mai,0
NHc,0
